img, part, ecd.nm, contrast, circ, a.r, round, solidity
2, 95, 78.61, 0.8570, 0.8843, 1.0197, 0.9807, 0.9708
2, 96, 84.08, 0.9390, 0.9001, 1.0242, 0.9764, 0.9761
2, 97, 84.07, 0.8287, 0.8987, 1.0436, 0.9582, 0.9749
2, 98, 70.56, 0.5912, 0.8809, 1.0276, 0.9731, 0.9724
2, 99, 69.70, 0.5153, 0.8714, 1.0301, 0.9708, 0.9639
2, 100, 82.13, 0.9561, 0.8923, 1.0132, 0.9870, 0.9735
2, 101, 78.37, 0.4625, 0.8866, 1.0202, 0.9802, 0.9700
2, 102, 91.09, 0.9266, 0.8903, 1.0250, 0.9756, 0.9761
2, 103, 76.45, 0.6049, 0.8838, 1.0383, 0.9632, 0.9724
2, 104, 85.62, 0.5909, 0.9012, 1.0038, 0.9962, 0.9728
2, 105, 68.45, 0.4320, 0.9017, 1.0280, 0.9727, 0.9737
2, 106, 88.93, 0.5312, 0.8985, 1.0236, 0.9769, 0.9749
2, 107, 71.08, 0.7934, 0.8879, 1.0179, 0.9824, 0.9700
2, 108, 65.97, 0.5528, 0.8921, 1.0162, 0.9841, 0.9683
2, 109, 79.36, 0.4647, 0.8477, 1.0269, 0.9738, 0.9672
2, 110, 79.68, 0.8195, 0.8797, 1.0059, 0.9941, 0.9752
2, 111, 91.42, 0.5429, 0.8840, 1.0231, 0.9775, 0.9736
2, 112, 71.69, 0.4838, 0.8701, 1.0180, 0.9824, 0.9692
2, 113, 85.57, 0.5935, 0.8951, 1.0258, 0.9749, 0.9729
2, 114, 58.36, 0.5855, 0.7177, 1.6154, 0.6190, 0.9647
2, 115, 87.17, 0.8465, 0.9015, 1.0337, 0.9674, 0.9760
2, 116, 66.23, 0.4533, 0.9118, 1.0081, 0.9919, 0.9710
2, 117, 91.06, 0.6589, 0.8964, 1.0128, 0.9874, 0.9733
2, 118, 91.46, 0.4873, 0.8889, 1.0177, 0.9826, 0.9719
2, 119, 73.81, 0.6561, 0.8814, 1.0063, 0.9937, 0.9711
2, 120, 69.04, 0.5184, 0.8801, 1.0049, 0.9952, 0.9636
2, 121, 69.36, 0.5785, 0.8437, 1.3925, 0.7182, 0.9801
2, 122, 26.51, 0.5049, 0.5750, 2.4710, 0.4047, 0.9248
2, 123, 51.61, 0.4828, 0.7007, 1.8641, 0.5365, 0.9677
2, 124, 38.24, 0.4917, 0.6007, 2.3238, 0.4303, 0.9547
2, 125, 41.77, 0.7387, 0.5464, 2.7969, 0.3575, 0.9618
2, 126, 39.13, 0.6033, 0.4912, 3.1353, 0.3190, 0.9567
2, 127, 32.54, 0.7778, 0.4692, 3.5924, 0.2784, 0.9552
3, 1, 63.23, 0.5210, 0.7262, 1.7149, 0.5831, 0.9718
3, 2, 91.46, 0.8593, 0.6913, 1.0523, 0.9503, 0.9357
3, 3, 35.44, 0.4651, 0.5511, 3.0431, 0.3286, 0.9689
3, 4, 44.30, 0.5028, 0.5803, 2.5698, 0.3891, 0.9562
3, 5, 58.36, 0.5438, 0.7312, 1.7177, 0.5822, 0.9748
3, 6, 46.45, 0.6191, 0.5553, 2.7031, 0.3699, 0.9548
3, 7, 24.87, 0.8059, 0.5838, 2.2706, 0.4404, 0.9538
3, 8, 80.24, 0.7500, 0.8921, 1.0290, 0.9719, 0.9727
3, 9, 72.91, 0.4759, 0.8886, 1.0957, 0.9127, 0.9751
3, 10, 69.69, 0.6037, 0.8894, 1.0414, 0.9602, 0.9746
3, 11, 77.67, 0.5485, 0.9112, 1.0289, 0.9719, 0.9719
3, 12, 76.29, 0.5417, 0.8950, 1.0639, 0.9400, 0.9691
3, 13, 87.91, 0.9623, 0.8918, 1.0068, 0.9932, 0.9746
3, 14, 88.07, 0.4904, 0.8879, 1.0184, 0.9819, 0.9730
3, 15, 85.91, 0.5823, 0.8650, 1.0309, 0.9701, 0.9676
3, 16, 74.80, 0.8441, 0.9029, 1.0050, 0.9950, 0.9703
3, 17, 63.14, 0.4975, 0.8522, 1.0152, 0.9850, 0.9622
3, 18, 88.67, 0.8901, 0.8839, 1.0160, 0.9843, 0.9719
3, 19, 14.62, 0.3657, 0.3793, 4.2630, 0.2346, 0.8669
3, 20, 69.32, 0.8222, 0.8864, 1.0100, 0.9901, 0.9675
3, 21, 66.31, 0.5985, 0.8646, 1.0102, 0.9899, 0.9650
3, 22, 78.76, 0.5664, 0.8858, 1.0097, 0.9904, 0.9722
3, 23, 62.54, 0.5373, 0.8934, 1.0155, 0.9848, 0.9653
3, 24, 79.57, 0.5694, 0.8801, 1.0104, 0.9897, 0.9665
3, 25, 69.11, 0.6130, 0.8622, 1.2324, 0.8115, 0.9776
3, 26, 77.73, 0.5306, 0.8762, 1.0239, 0.9767, 0.9699
3, 27, 77.24, 0.5509, 0.8903, 1.0234, 0.9772, 0.9713
3, 28, 68.05, 0.7160, 0.8396, 1.0224, 0.9781, 0.9630
3, 29, 75.41, 0.5488, 0.8807, 1.0180, 0.9824, 0.9720
3, 30, 63.08, 0.4870, 0.8809, 1.0324, 0.9686, 0.9654
3, 31, 57.07, 0.4617, 0.8340, 1.0252, 0.9754, 0.9560
3, 32, 53.97, 0.4012, 0.8332, 1.0408, 0.9608, 0.9513
3, 33, 68.34, 0.8059, 0.8424, 1.2915, 0.7743, 0.9801
3, 34, 95.80, 0.5494, 0.8868, 1.0100, 0.9901, 0.9765
3, 35, 75.27, 0.6127, 0.8825, 1.0396, 0.9619, 0.9702
3, 36, 73.75, 0.9293, 0.8787, 1.0254, 0.9752, 0.9698
3, 37, 80.74, 0.6451, 0.8985, 1.0032, 0.9968, 0.9759
3, 38, 24.18, 0.6026, 0.3663, 4.8075, 0.2080, 0.9426
3, 39, 64.33, 0.7088, 0.8871, 1.0428, 0.9589, 0.9663
3, 40, 76.59, 0.9296, 0.8913, 1.0234, 0.9771, 0.9701
3, 41, 89.38, 0.5981, 0.9013, 1.0548, 0.9481, 0.9725
3, 42, 70.70, 0.5497, 0.8814, 1.0113, 0.9888, 0.9716
3, 43, 76.75, 0.5778, 0.9039, 1.0455, 0.9565, 0.9735
3, 44, 67.97, 0.6738, 0.8971, 1.0278, 0.9729, 0.9682
3, 45, 76.64, 0.7275, 0.8786, 1.0283, 0.9725, 0.9710
3, 46, 75.06, 0.7315, 0.9032, 1.0247, 0.9759, 0.9742
3, 47, 77.84, 0.6719, 0.8931, 1.0127, 0.9875, 0.9685
3, 48, 78.88, 0.5961, 0.9175, 1.0298, 0.9711, 0.9762
3, 49, 82.44, 0.5839, 0.8897, 1.0065, 0.9935, 0.9756
3, 50, 76.73, 0.5645, 0.8555, 1.0187, 0.9816, 0.9666
3, 51, 73.89, 0.5154, 0.8600, 1.0231, 0.9774, 0.9633
3, 52, 88.20, 0.5472, 0.9059, 1.0473, 0.9548, 0.9779
3, 53, 71.90, 0.4843, 0.8197, 1.0384, 0.9630, 0.9596
3, 54, 83.33, 0.4966, 0.8994, 1.0231, 0.9774, 0.9710
3, 55, 42.00, 0.8676, 0.9009, 1.0413, 0.9603, 0.9544
3, 56, 61.94, 0.6361, 0.9033, 1.0108, 0.9893, 0.9715
3, 57, 96.80, 0.7840, 0.8980, 1.0040, 0.9960, 0.9774
3, 58, 68.59, 0.4759, 0.8594, 1.0152, 0.9850, 0.9617
3, 59, 90.52, 0.7071, 0.8783, 1.0279, 0.9729, 0.9737
3, 60, 94.60, 0.5907, 0.9048, 1.0155, 0.9848, 0.9761
3, 61, 73.41, 0.5028, 0.8696, 1.0208, 0.9797, 0.9667
3, 62, 75.98, 0.5617, 0.8405, 1.0275, 0.9733, 0.9666
3, 63, 22.70, 0.4244, 0.4554, 3.2310, 0.3095, 0.9002
3, 64, 73.10, 0.5917, 0.9060, 1.0236, 0.9769, 0.9754
3, 65, 90.91, 0.8920, 0.9038, 1.0185, 0.9818, 0.9765
3, 66, 85.31, 0.4790, 0.8977, 1.0566, 0.9464, 0.9748
3, 67, 74.65, 0.5673, 0.8293, 1.0225, 0.9780, 0.9645
3, 68, 94.60, 0.5870, 0.8836, 1.0211, 0.9794, 0.9750
3, 69, 83.71, 0.5694, 0.8965, 1.0310, 0.9700, 0.9707
3, 70, 83.33, 0.5392, 0.8418, 1.0121, 0.9881, 0.9691
3, 71, 106.58, 0.6991, 0.9020, 1.0268, 0.9739, 0.9792
3, 72, 91.70, 0.8003, 0.9160, 1.0161, 0.9841, 0.9814
3, 73, 79.08, 0.6713, 0.8702, 1.0137, 0.9864, 0.9685
3, 74, 98.26, 0.7256, 0.8799, 1.0307, 0.9702, 0.9745
3, 75, 87.54, 0.7120, 0.8938, 1.0291, 0.9717, 0.9739
3, 76, 70.49, 0.4772, 0.8593, 1.0250, 0.9756, 0.9645
3, 77, 75.28, 0.5105, 0.8798, 1.0362, 0.9651, 0.9657
3, 78, 87.55, 0.6194, 0.8493, 1.0221, 0.9784, 0.9733
3, 79, 78.35, 0.7426, 0.9018, 1.0099, 0.9902, 0.9714
3, 80, 70.95, 0.7361, 0.7585, 1.6215, 0.6167, 0.9728
3, 81, 83.85, 0.5858, 0.8921, 1.0515, 0.9510, 0.9752
3, 82, 75.23, 0.5080, 0.8657, 1.0232, 0.9773, 0.9679
3, 83, 93.61, 0.6960, 0.8998, 1.0294, 0.9714, 0.9765
3, 84, 67.40, 0.5247, 0.8901, 1.0274, 0.9734, 0.9681
3, 85, 87.36, 0.5404, 0.8945, 1.0151, 0.9851, 0.9722
3, 86, 94.90, 0.7028, 0.8901, 1.0500, 0.9524, 0.9747
3, 87, 76.36, 0.8003, 0.8968, 1.0344, 0.9667, 0.9693
3, 88, 83.52, 0.5824, 0.8889, 1.0298, 0.9711, 0.9718
3, 89, 90.86, 0.7593, 0.9060, 1.0130, 0.9872, 0.9789
3, 90, 74.67, 0.9250, 0.8986, 1.0104, 0.9897, 0.9680
3, 91, 89.64, 0.6707, 0.8828, 1.0139, 0.9863, 0.9734
3, 92, 66.79, 0.4491, 0.6759, 1.0342, 0.9669, 0.9446
3, 93, 93.93, 0.9509, 0.8984, 1.0191, 0.9812, 0.9770
3, 94, 69.81, 0.8466, 0.7770, 1.6728, 0.5978, 0.9819
3, 95, 77.72, 0.5284, 0.9073, 1.0242, 0.9764, 0.9724
3, 96, 77.91, 0.7160, 0.9092, 1.0294, 0.9714, 0.9752
3, 97, 67.74, 0.5423, 0.8433, 1.0317, 0.9693, 0.9626
3, 98, 76.62, 0.4951, 0.9088, 1.0082, 0.9919, 0.9704
3, 99, 81.13, 0.7293, 0.8771, 1.0091, 0.9909, 0.9718
3, 100, 84.58, 0.4793, 0.8959, 1.0300, 0.9709, 0.9766
3, 101, 56.40, 0.5633, 0.7610, 1.6523, 0.6052, 0.9750
3, 102, 90.28, 0.6611, 0.8836, 1.0216, 0.9789, 0.9713
3, 103, 72.03, 0.7535, 0.8805, 1.0270, 0.9737, 0.9702
3, 104, 102.30, 0.9463, 0.9010, 1.0266, 0.9741, 0.9788
3, 105, 62.12, 0.5276, 0.8799, 1.0352, 0.9660, 0.9621
3, 106, 49.83, 0.5506, 0.7099, 1.7787, 0.5622, 0.9689
3, 107, 86.98, 0.6049, 0.9047, 1.0304, 0.9705, 0.9746
3, 108, 83.96, 0.6096, 0.8847, 1.0244, 0.9762, 0.9715
3, 109, 64.85, 0.4654, 0.8730, 1.0259, 0.9747, 0.9598
3, 110, 81.52, 0.6728, 0.8938, 1.0170, 0.9833, 0.9714
3, 111, 92.34, 0.8278, 0.8952, 1.0143, 0.9859, 0.9742
3, 112, 50.97, 0.4793, 0.7105, 1.8612, 0.5373, 0.9692
3, 113, 42.17, 0.9134, 0.8993, 1.0301, 0.9708, 0.9562
3, 114, 69.15, 0.7235, 0.7301, 1.8468, 0.5415, 0.9819
3, 115, 62.80, 0.5210, 0.7984, 1.4647, 0.6828, 0.9768
3, 116, 59.08, 0.6963, 0.6920, 1.9164, 0.5218, 0.9703
3, 117, 41.05, 0.6383, 0.5468, 2.8579, 0.3499, 0.9419
4, 1, 49.66, 0.4499, 0.7182, 1.8399, 0.5435, 0.9723
4, 2, 40.24, 0.5134, 0.5112, 2.9960, 0.3338, 0.9542
4, 3, 79.31, 0.5549, 0.8605, 1.1110, 0.9001, 0.9735
4, 4, 21.30, 0.4548, 0.3683, 4.7743, 0.2095, 0.9290
4, 5, 65.43, 0.5107, 0.8449, 1.0343, 0.9668, 0.9613
4, 6, 21.39, 0.4832, 0.4518, 3.6353, 0.2751, 0.9421
4, 7, 10.43, 0.4766, 0.5235, 3.3093, 0.3022, 0.8992
4, 8, 44.43, 0.5414, 0.5863, 2.3233, 0.4304, 0.9630
4, 9, 50.64, 0.4716, 0.6466, 2.0165, 0.4959, 0.9641
4, 10, 88.17, 0.6134, 0.9005, 1.0288, 0.9720, 0.9737
4, 11, 91.08, 0.6399, 0.8916, 1.0330, 0.9681, 0.9734
4, 12, 67.67, 0.6057, 0.8747, 1.2047, 0.8301, 0.9733
4, 13, 64.30, 0.4690, 0.8458, 1.0156, 0.9846, 0.9562
4, 14, 89.38, 0.5944, 0.8756, 1.0198, 0.9806, 0.9721
4, 15, 54.07, 0.8588, 0.9120, 1.0472, 0.9550, 0.9695
4, 16, 69.91, 0.6635, 0.8994, 1.0146, 0.9856, 0.9652
4, 17, 76.31, 0.6147, 0.9036, 1.0336, 0.9675, 0.9711
