 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
18,C3-jw-30min 1_c5.tif:0018-0640,2473,103.780,62,147,1340.686,640.456,1340.636,639.928,184.752,59.177,53.209,149.033,0.910,60.216,1318,621,144.462,54.000,1.112,0.899,0.974
19,C3-jw-30min 1_c5.tif:0019-0653,4161,144.670,61,255,1005.848,653.143,1005.397,653.006,244.208,84.590,62.631,159.898,0.877,84.694,968,634,157.068,62.613,1.351,0.740,0.978
20,C3-jw-30min 1_c5.tif:0020-0663,2168,96.167,60,133,1186.223,662.506,1185.674,662.564,176.167,61.944,44.562,54.603,0.878,62.801,1168,688,52.765,45.400,1.390,0.719,0.969
21,C3-jw-30min 1_c5.tif:0021-0675,2494,123.432,62,253,532.532,675.704,532.271,674.973,191.681,66.690,47.615,83.353,0.853,68.007,517,707,70.233,47.441,1.401,0.714,0.967
22,C3-jw-30min 1_c5.tif:0022-0708,4133,170.460,61,255,266.993,707.804,266.608,707.856,244.794,85.938,61.233,5.076,0.867,86.209,225,710,3.991,61.000,1.403,0.713,0.978
23,C3-jw-30min 1_c5.tif:0023-0725,2176,100.741,61,145,923.367,725.747,923.085,726.389,177.681,60.451,45.832,80.402,0.866,61.847,917,755,75.964,46.169,1.319,0.758,0.967
24,C3-jw-30min 1_c5.tif:0024-0809,2239,108.093,63,169,680.116,810.257,679.916,810.412,177.338,56.436,50.513,140.195,0.895,57.801,666,785,127.266,51.410,1.117,0.895,0.969
25,C3-jw-30min 1_c5.tif:0025-0829,2484,124.692,60,254,542.026,829.769,541.912,829.549,190.066,66.167,47.799,142.844,0.864,66.708,517,810,139.865,47.982,1.384,0.722,0.970
26,C3-jw-30min 1_c5.tif:0026-0851,2019,110.850,63,210,772.886,850.756,772.488,849.871,168.995,55.538,46.286,60.621,0.888,56.303,757,874,56.592,47.321,1.200,0.833,0.963
27,C3-jw-30min 1_c5.tif:0027-0862,2437,122.568,59,214,301.271,860.252,300.800,859.669,193.095,71.368,43.477,99.806,0.821,71.309,290,828,104.621,44.388,1.642,0.609,0.971
28,C3-jw-30min 1_c5.tif:0028-0856,2154,96.539,62,149,1286.645,856.816,1286.619,856.493,177.539,58.538,46.851,176.720,0.859,58.523,1260,846,160.017,45.586,1.249,0.800,0.963
29,C3-jw-30min 1_c5.tif:0029-0873,2574,122.593,58,205,144.276,872.911,144.218,873.692,191.823,65.929,49.710,39.636,0.879,67.941,119,895,42.614,50.205,1.326,0.754,0.972
30,C3-jw-30min 1_c5.tif:0030-0880,1952,109.613,60,160,1091.242,881.306,1091.268,882.175,169.983,55.986,44.392,172.144,0.849,58.600,1069,867,143.326,43.203,1.261,0.793,0.970
31,C3-jw-30min 1_c5.tif:0031-0908,2841,104.870,62,168,1282.897,908.260,1282.432,909.470,205.882,64.114,56.419,99.361,0.842,69.405,1263,878,126.209,55.329,1.136,0.880,0.967
32,C3-jw-30min 1_c5.tif:0032-0905,2575,116.210,61,196,527.480,903.536,527.032,903.457,192.510,66.163,49.553,170.397,0.873,68.622,494,891,161.301,49.827,1.335,0.749,0.972
