"Z.um","Gen.C.K.L2.","Emit.C.K.L2.","Gen.C.K.L3.","Emit.C.K.L3.","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Si.K.L2.","Emit.Si.K.L2.","Gen.Si.K.L3.","Emit.Si.K.L3.","Gen.Si.K.M2.","Emit.Si.K.M2.","Gen.Si.K.M3.","Emit.Si.K.M3.","Gen.Si.L1.M2.","Emit.Si.L1.M2.","Gen.Si.L2.M1.","Emit.Si.L2.M1.","Gen.Si.L3.M1.","Emit.Si.L3.M1.","Gen_I.C.K.L2.","Emit_I.C.K.L2.","Gen_I.C.K.L3.","Emit_I.C.K.L3.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Si.K.L2.","Emit_I.Si.K.L2.","Gen_I.Si.K.L3.","Emit_I.Si.K.L3.","Gen_I.Si.K.M2.","Emit_I.Si.K.M2.","Gen_I.Si.K.M3.","Emit_I.Si.K.M3.","Gen_I.Si.L1.M2.","Emit_I.Si.L1.M2.","Gen_I.Si.L2.M1.","Emit_I.Si.L2.M1.","Gen_I.Si.L3.M1.","Emit_I.Si.L3.M1."
0.77100000000064,0,0,0,0,0.734,0.165,0.734,0.165,0.307,0.243,0.307,0.243,0.307,0.25,0.307,0.25,1.137,0,9.114,0,9.359,0,0,0,0,0,139664.547,31425.431,278224.33,62602.283,40113.6,31680.127,79592.074,62858.657,683.827,557.477,1356.709,1104.398,1059.636,0,7109.37,0.009,13415.458,0.017
0.792999999999665,0,0,0,0,0.617,0.133,0.617,0.133,0.247,0.194,0.247,0.194,0.247,0.201,0.247,0.2,0.967,0,7.754,0,7.962,0,0,0,0,0,117323.96,25316.227,233719.872,50432.198,32317.824,25351.454,64123.954,50301.514,550.931,446.517,1093.043,884.54,900.921,0,6048.01,0.005,11413.211,0.01
0.814500000000407,0,0,0,0,0.528,0.109,0.528,0.109,0.197,0.154,0.197,0.154,0.197,0.159,0.197,0.159,0.858,0,6.883,0,7.068,0,0,0,0,0,100447.965,20801.104,200101.374,41437.668,25777.722,20085.991,51147.3,39853.958,439.44,354.095,871.846,701.425,799.392,0,5368.802,0.003,10132.215,0.006
0.835999999999331,0,0,0,0,0.439,0.087,0.439,0.087,0.149,0.115,0.149,0.115,0.149,0.119,0.149,0.119,0.738,0,5.923,0,6.083,0,0,0,0,0,83398.186,16565.56,166136.681,33000.085,19419.99,15031.405,38532.501,29824.814,331.058,265.226,656.817,525.363,687.296,0,4619.989,0.002,8719.778,0.004
0.858000000000175,0,0,0,0,0.352,0.067,0.352,0.067,0.11,0.085,0.11,0.085,0.11,0.088,0.11,0.088,0.595,0,4.775,0,4.904,0,0,0,0,0,66957.193,12763.737,133384.745,25426.512,14388.782,11062.266,28549.744,21949.381,245.289,195.368,486.653,386.972,554.789,0,3724.285,0.001,7029.165,0.002
0.8799999999992,0,0,0,0,0.27,0.049,0.27,0.049,0.076,0.058,0.076,0.058,0.076,0.061,0.076,0.06,0.478,0,3.835,0,3.939,0,0,0,0,0,51380.451,9388.709,102354.477,18703.151,9986.927,7625.893,19815.729,15131.043,170.25,134.803,337.775,266.996,445.182,0,2991.488,0.001,5646.598,0.001
0.902000000000044,0,0,0,0,0.201,0.035,0.201,0.035,0.052,0.04,0.052,0.04,0.052,0.041,0.052,0.041,0.375,0,3.018,0,3.1,0,0,0,0,0,38258.183,6711.263,76213.738,13369.44,6824.489,5176.949,13540.925,10271.931,116.339,91.594,230.816,181.407,349.085,0,2353.908,0,4443.787,0.001
0.923999999999978,0,0,0,0,0.162,0.027,0.162,0.027,0.035,0.026,0.035,0.026,0.035,0.028,0.035,0.027,0.307,0,2.47,0,2.537,0,0,0,0,0,30840.091,5186.544,61436.234,10332.061,4589.194,3457.856,9105.727,6860.963,78.233,61.234,155.214,121.273,286.207,0,1926.253,0,3636.42,0
0.945499999999811,0,0,0,0,0.118,0.019,0.118,0.019,0.022,0.016,0.022,0.016,0.022,0.017,0.022,0.017,0.247,0,1.998,0,2.053,0,0,0,0,0,22526.455,3636.556,44874.722,7244.346,2825.781,2114.971,5606.822,4196.456,48.172,37.487,95.573,74.239,230.287,0,1558.164,0,2942.216,0
0.967000000000553,0,0,0,0,0.074,0.011,0.074,0.011,0.011,0.008,0.011,0.008,0.011,0.009,0.011,0.009,0.156,0,1.261,0,1.296,0,0,0,0,0,14014.802,2171.194,27918.746,4325.214,1476.66,1098.04,2929.94,2178.694,25.173,19.479,49.943,38.575,145.333,0,983.711,0,1857.559,0
0.988999999999578,0,0,0,0,0.047,0.007,0.047,0.007,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004,0.107,0,0.866,0,0.89,0,0,0,0,0,8849.996,1315.29,17629.988,2620.176,659.83,487.316,1309.214,966.915,11.248,8.653,22.317,17.135,99.522,0,675.735,0,1276.195,0
1.01100000000042,0,0,0,0,0.023,0.003,0.023,0.003,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.06,0,0.489,0,0.502,0,0,0,0,0,4344.803,620.021,8655.239,1235.137,215.597,158.223,427.78,313.941,3.675,2.812,7.292,5.568,55.598,0,381.209,0,720.181,0
1.03299999999945,0,0,0,0,0.01,0.001,0.01,0.001,0,0,0,0,0,0,0,0,0.026,0,0.215,0,0.221,0,0,0,0,0,1862.603,255.128,3710.473,508.238,56.256,41.007,111.622,81.364,0.959,0.729,1.903,1.444,24.514,0,167.603,0,316.62,0
1.05450000000019,0,0,0,0,0.003,0,0.003,0,0,0,0,0,0,0,0,0,0.011,0,0.089,0,0.091,0,0,0,0,0,635.644,83.499,1266.26,166.337,14.632,10.601,29.033,21.034,0.249,0.189,0.495,0.374,9.984,0,69.363,0,131.104,0
1.07600000000002,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0.006,0,0.048,0,0.05,0,0,0,0,0,277.39,34.9,552.585,69.524,0.226,0.162,0.447,0.322,0.004,0.003,0.008,0.006,5.367,0,37.71,0,71.296,0
1.09799999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.004,0,0.004,0,0,0,0,0,41.845,5.045,83.359,10.051,0,0,0,0,0,0,0,0,0.477,0,3.167,0,5.978,0
1.1200000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.005,0,0.006,0,0,0,0,0,16.695,1.951,33.258,3.887,0,0,0,0,0,0,0,0,0.585,0,4.193,0,7.932,0
1.14199999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16400000000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18549999999959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20700000000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22899999999936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2510000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27299999999923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29449999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.31600000000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.33799999999974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36000000000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38199999999961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40400000000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42549999999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44700000000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46899999999914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.51300000000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.53449999999975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55600000000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57799999999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62199999999939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
