 ,Label,Area,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
884,work,1192.452,793.972,1255.983,128.075,40.108,37.855,3.814,0.914,41.947,508,829,33.111,38.190,1.060,0.944,0.946
885,work,1586.825,903.653,1264.409,148.413,45.871,44.045,12.960,0.905,47.968,576,831,9.162,44.300,1.041,0.960,0.947
886,work,1369.803,123.740,1266.888,136.346,43.263,40.314,1.653,0.926,44.537,67,835,22.166,39.718,1.073,0.932,0.956
887,work,1173.784,1336.610,1266.924,129.341,39.808,37.543,124.240,0.882,42.362,862,834,25.641,38.190,1.060,0.943,0.938
888,work,1253.125,1467.603,1268.195,148.413,41.409,38.531,99.351,0.715,46.460,955,817,117.408,40.990,1.075,0.931,0.872
889,work,1362.803,1039.441,1267.888,135.604,42.840,40.503,52.743,0.931,46.561,670,841,48.991,39.718,1.058,0.945,0.965
890,work,1344.134,301.911,1270.758,136.716,42.152,40.601,16.411,0.904,44.537,184,837,22.166,41.245,1.038,0.963,0.951
891,work,1477.147,35.819,1273.430,143.198,44.639,42.133,125.191,0.905,47.943,17,819,120.651,43.207,1.059,0.944,0.947
892,work,1311.464,216.088,1271.225,137.611,43.213,38.641,13.191,0.870,47.454,128,842,33.179,39.718,1.118,0.894,0.933
893,work,1260.126,577.247,1270.699,131.130,40.511,39.605,104.550,0.921,43.423,367,822,140.711,39.718,1.023,0.978,0.954
894,work,1225.122,1250.109,1271.117,133.661,41.173,37.886,136.115,0.862,45.342,810,819,122.619,39.624,1.087,0.920,0.930
895,work,1437.477,389.360,1273.234,140.667,43.381,42.191,5.485,0.913,45.955,241,840,21.448,42.773,1.028,0.973,0.956
896,work,1127.112,1418.824,1271.754,130.235,39.805,36.053,169.170,0.835,42.609,914,833,165.466,36.662,1.104,0.906,0.921
897,work,144.681,1534.574,1260.542,50.366,18.741,9.829,9.257,0.717,19.323,998,828,18.435,10.693,1.907,0.524,0.899
898,work,1185.452,476.395,1274.591,127.180,39.459,38.251,19.481,0.921,41.555,304,845,53.973,38.190,1.032,0.969,0.948
899,work,1283.461,661.654,1278.597,136.716,40.762,40.090,172.537,0.863,44.615,422,847,38.047,40.565,1.017,0.984,0.931
900,work,1187.785,1167.965,1278.847,128.816,41.614,36.342,163.215,0.900,44.484,750,834,164.055,37.574,1.145,0.873,0.938
901,work,1327.799,747.699,1282.757,139.401,41.572,40.667,11.506,0.859,45.110,477,846,28.301,41.245,1.022,0.978,0.927
902,work,1514.484,836.098,1284.248,144.617,44.373,43.457,49.250,0.910,47.059,535,850,35.754,42.773,1.021,0.979,0.954
