X,Y
3.9400E2,2.5424E2
3.9500E2,2.5474E2
3.9600E2,2.5476E2
3.9700E2,2.5476E2
3.9800E2,2.5476E2
3.9900E2,2.5475E2
4.0000E2,2.5411E2
4.0100E2,2.5410E2
4.0200E2,2.5410E2
4.0300E2,2.5436E2
4.0400E2,2.5437E2
4.0500E2,2.5462E2
4.0600E2,2.5463E2
4.0700E2,2.5469E2
4.0800E2,2.5500E2
4.0900E2,2.5500E2
4.1000E2,2.5500E2
4.1100E2,2.5500E2
4.1200E2,2.5500E2
4.1300E2,2.5500E2
4.1400E2,2.5500E2
4.1500E2,2.5500E2
4.1600E2,2.5500E2
4.1700E2,2.5500E2
4.1800E2,2.5500E2
4.1900E2,2.5500E2
4.2000E2,1.4025E2
